#,Department,Phase,KPI / Feature Name,Rationale / Definition,Prototype Status,Dashboard Widget / UX,References,Flyout Detail (Right Panel),Source ? Fields,RAG / Thresholds,Source System & Access,Frequency,Personas,Decision,Prototype Trace,Drill-down Depth,Formula
?  ORG PULSE — OVERVIEW,,,,,,,,,,,,,,,,,
  ?  Org Pulse Dashboard,,,,,,,,index.html,,,,,,,,,
1,Org Pulse,P1,Engineering Summary Card (index.html ? Engineering dept card),Rollup of Engineering unit health visible on Org Pulse home. Entry point to DM dashboard.,Live – v1,"Dept card: RAG badge + 3 capsules (Unit RAG, Avg P360, Escalations). Click?dm-home.html",Built in: Org Pulse | See: P360 Score; Escalation Age (PMO),"Right panel: Unit RAG breakdown by project, Avg P360 score with trend, open escalation list with severity. Links to dm-home.html for full DM view.","P360 SharePoint + Jira ?
1. composite RAG
2. avg P360
3. escalation count",Green: all green | Amber: any amber | Red: any red,"P360 SharePoint/Jira — P360 SharePoint, Jira Read",Daily,"Primary: Leadership | Secondary: DM, PMO",Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
28,Sales,P1,Activity Aging on Opportunities (sales.html ? Stale Pipeline Heatmap card),Stale pipeline is an invisible pipeline. Flags reps with neglected deals before they are silently lost. Widget: heatmap by owner × age bucket.,Live – v1,"Owner × age-bucket heatmap: rows=reps, columns=<30d/30–60d/60–90d/>90d; cell value=deal count; red cells >30d",Built in: Sales | See: Pipeline Funnel by Stage; BOFU Stage Duration,"1. Opportunity detail for selected cell: Account
2. Stage
3. Value
4. Last Activity Date
5. Days Stale
6. Rep
7. Next Step
8. Sort by days stale descending
9. Stage distribution of stale deals
10. Rep accountability: stale count per rep with trend","CRM Opportunity ?
1. opp_id
2. stage
3. value
4. rep

CRM Activity Log ? last_activity_date per opp",Red: last activity >21 days | Amber: 14–21 days | Green: <14 days,CRM; last_activity_date field — confirm computed or manual,Weekly,Primary: Sales Head | Secondary: Sales Rep,Pending Review,Deferred,—,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
29,Sales,P1,Task Aging on Meetings (Planned – v2 (Sales screen)),Promises made in client meetings that go untracked are relationship damage waiting to happen.,Live - v2,Overdue task count per rep; badge on rep summary card,Built in: Sales | See: Activity Aging on Opportunities,"1. Task table: Task Description
2. Linked Meeting
3. Due Date
4. Age in days
5. Status
6. Last Updated
7. Rep
8. Overdue sorted by age
9. Inactive tasks (no update >7d) highlighted separately
10. Rep accountability: overdue count per rep","CRM Task/Activity ?
1. task_id
2. linked_meeting_id
3. description
4. due_date
5. last_updated
6. status
7. rep",Red: task >14d overdue OR no update >7d | Amber: 7–14d OR no update 4–7d | Green: all within due date,CRM; tasks must be linked to meeting IDs,Daily,Primary: Sales Head | Secondary: Sales Rep,Approved (built in v2.0),Deferred,—,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
  ?  Deal Conversion,,,,,,,,sales.html ? Deal Conversion (BOFU only),,,,,Secondary: Planned – v2,,,,
30,Sales,P2,BOFU Stage Duration & Win Rate (Planned – v2 (Deal Conversion screen)),Time in final pipeline stages is where deals are won or lost. Long BOFU duration indicates indecision or competitor movement.,Live - v2,Dual metric card: BOFU conversion % + avg days in BOFU; MoM trend arrow,Built in: Sales | See: Activity Aging on Opportunities; Pipeline Funnel,"1. BOFU deals table: Account
2. Value
3. Days in BOFU
4. Rep
5. Last Action
6. Next Step
7. Deals >threshold flagged red
8. Win/loss reason breakdown if available
9. Conversion trend: BOFU?Won this month vs prior 2 months","CRM Opportunity ?
1. opp_id
2. stage
3. stage_entered_date
4. value

CRM Stage History ? entry/exit timestamps",Red: conversion <20% OR any deal in BOFU >30d | Amber: 20–30% OR deal 15–30d | Green: >30% AND all <15d,CRM; stage history timestamps required,Monthly,Primary: Sales Head | Secondary: CEO,Approved (built in v2.0),Deferred,—,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
  ?  DEFERRED — Sales (out of scope for current build cycle),,,,,,,,,,,,,,,,,
31,Sales,P3,Win / Loss Trend (—),Deferred Sales metric: Win / Loss Trend.,Deferred,—,Built in: Sales | See: —,No flyout — deferred,CRM,—,CRM,Monthly,Primary: Sales Head | Secondary: —,Deferred,Deferred,—,
32,Sales,P3,Sales Cycle (Days) (—),Deferred Sales metric: Sales Cycle (Days).,Deferred,—,Built in: Sales | See: —,No flyout — deferred,CRM,—,CRM,Monthly,Primary: Sales Head | Secondary: —,Deferred,Deferred,—,
?  TALENT ACQUISITION (TA),,,,,,,,,,,,,,,,,
  ?  Requisition Management,,,,,,,,Planned – v2 (TA module),,,,,,,,,
33,Talent Acquisition (TA),P1,Hiring & Attrition — DM Summary (Hiring & Attrition tile ? Hiring & Attrition — DM Summary),Entry point: unit-level open roles and exits visible on the People KPIs screen. Journey starts here.,Live – v1,KPI tile: open roles count + exits count; RAG; click?flyout,Built in: Talent Acquisition (TA) | See: JR Approval Turnaround; Time to Hire,"1. Open roles section: JD title, days open, current stage, target start date, sourcing channel
2. Exits section: role, exit date, reason category, KT status
3. Risk flag if exit impacts active project
4. Link to full TA module","Source list: Tara ATS + Keka. Fields:
1. Tara ATS + Keka.No of opening(Requisitions) ? open_positions_count (Raw)
2. Tara ATS + Keka.exit portal sharepoint ? exits_this_month per unit (Raw).",Green: 0 exits AND ?2 open | Amber: 1 exit OR 3–4 open | Red: ?2 exits OR ?5 open,"Tara / Keka — Tara ATS, Keka",Weekly,"Primary: Delivery Manager | Secondary: TA Head, HR Head",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
34,Talent Acquisition (TA),P1,JR Approval Turnaround (Planned – v2 (TA Dashboard) ? JR Approval Turnaround),Delays in JR approval are the biggest controllable bottleneck in hiring. Tracking stage age forces accountability at each approver.,Live - v2,JR pipeline: approval stage bar per requisition with age and SLA flag,Built in: Talent Acquisition (TA) | See: Time to Hire vs Target,"1. JR table: Role
2. Level
3. Raised By
4. Current Approval Stage
5. Stage Age in days
6. Approver name
7. SLA status (On Track/Breached)
8. Sorted by stage age descending
9. One-click escalation to next approver from flyout","Source list: Tara / HR System. Fields:
1. Tara / HR System.Requisition ID(Requisitions) ? jr_id (Raw)
2. Tara / HR System.Job Title(Requisitions) ? role_title (Raw)
3. Tara / HR System.Created on (Requisitions) ? raise_date (Raw)
4. Tara / HR System.PMO Status(Requisitions) - UAT ? approval_stage (Raw)
5. Tara / HR System.If approval_stage == ""Approved"" then approver =""PMO"" ? approver (Cleaned).",Green: approval <3 days | Amber: 3–5 days | Red: >5 days at any stage,Tara / HR System — Tara ATS / HR System,Daily,"Primary: TA Head | Secondary: HR Head, DM",Approved (built in v2.0),Deferred,—,"If approval_stage == ""Approved"" then approver =""PMO"""
  ?  Sourcing & Screening,,,,,,,,Planned – v2 (TA module),,,,,Secondary: Planned – v2,,,,
35,Talent Acquisition (TA),P1,Screening-to-Schedule Rate (Planned – v2 (TA Dashboard) ? Screening-to-Schedule Rate),Measures how efficiently screened profiles convert to scheduled interviews. Low rates signal poor sourcing quality or misaligned JD expectations.,Live - v2,Funnel metric: screened ÷ scheduled %; trend vs prior 2 months; source breakdown,Built in: Talent Acquisition (TA) | See: Interview Velocity; Funnel Conversion Rate,"1. Source breakdown: conversion rate by sourcing channel (job portal/referral/LinkedIn/agency)
2. JD-level drill: screen-to-schedule rate per open role
3. Top reject reasons summary
4. Recruiter-level conversion rate","Source list: Tara ATS. Fields:
1. Tara ATS.Candidate ID(Candidates) ? profile_id (Raw)
2. Tara ATS.Job ID(Candidates) ? jd_id (Raw)
3. Tara ATS.Status (Candidates) ? screen_status (Raw)
4. Tara ATS ? interview_scheduled_flag (Raw)
5. Tara ATS.event start (Interviews) ? screen_date (Raw)
6. Tara ATS.Sourced (Candidate Overview) ? source_channel (Raw).",Green: ?60% | Amber: 40–59% | Red: <40%,Tara ATS,Weekly,Primary: TA Head | Secondary: TA Recruiter,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
36,Talent Acquisition (TA),P2,Call Quality Score (TA) (Planned – v2 (TA Dashboard) ? Call Quality Score (TA)),Quality of recruiter screening calls against a structured rubric. Drives consistency in candidate experience.,Live - v2,Score per recruiter per call; avg this month vs prior 2M; trend arrow,Built in: Talent Acquisition (TA) | See: Screening-to-Schedule Rate,"1. Call-level table: Recruiter
2. JD
3. Call Date
4. Score
5. Category breakdown (Opening/Probing/Pitch/Close)
6. Calls below threshold highlighted
7. Coaching flag if 3+ consecutive calls below threshold
8. 6-month trend per recruiter","Source list: Call recording / HRMS. Fields:
1. Call recording / HRMS ? call_id
2. Call recording / HRMS ? recruiter
3. Call recording / HRMS ? candidate
4. Call recording / HRMS ? jd_id
5. Call recording / HRMS ? status.",Red: avg <6/10 | Amber: declining trend | Green: ?6/10 and stable or improving,Call Recording / HRMS — Call recording system; scoring rubric,Monthly,Primary: TA Head | Secondary: HR Head,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Interview Pipeline,,,,,,,,Planned – v2 (TA module),,,,,Secondary: Planned – v2,,,,
37,Talent Acquisition (TA),P1,Interview Velocity (Planned – v2 (TA Dashboard) ? Interview Velocity),Days between interview stages indicate scheduling bottlenecks. Long gaps lose candidates to competitor offers.,Live - v2,Average days per stage funnel; breach count badge; candidates stalled >7d flagged,Built in: Talent Acquisition (TA) | See: Screening-to-Schedule Rate; Funnel Conversion Rate,"1. Candidate-level table: Name
2. JD
3. Current Stage
4. Days Since Last Stage
5. Next Interviewer
6. Status
7. Stalled candidates (>7d) at top
8. One-click reschedule prompt from flyout","Source list: Tara ATS. Fields:
1. Tara ATS.Candidate ID(Candidates) ? candidate_id (Raw)
2. Tara ATS.Job ID(Candidates) ? jd_id (Raw)
3. Tara ATS.only status == ""interview"" ? interview_stage
4. Tara ATS.event start (Interviews) ? stage_date[] (Raw)
5. Tara ATS.Interviewer(Interviews) ? interviewer (Raw).",Green: avg <3d per stage | Amber: 3–5d | Red: >5d OR any candidate stalled >7d,Tara ATS,Daily,Primary: TA Head | Secondary: TA Recruiter,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
38,Talent Acquisition (TA),P1,Funnel Conversion Rate (Planned – v2 (TA Dashboard) ? Funnel Conversion Rate),End-to-end conversion from JD-open to offer accepted. Shows exactly where the funnel is leaking.,Live - v2,Funnel visual: Applied ? Screened ? Interviewed ? Offered ? Accepted with % at each stage drop,Built in: Talent Acquisition (TA) | See: Interview Velocity; Offer Pipeline,"1. Stage-wise conversion table per JD
2. Source-wise breakdown: which channels convert best
3. Time-in-stage average per stage
4. Comparison vs prior quarter
5. JD-level drill into worst-performing funnels","Source list: Tara ATS. Fields:
1. Tara ATS.Candidate(Interview) ? candidate_id (Raw)
2. Tara ATS.Job(Interview) ? jd_id (Raw)
3. Tara ATS ? outcome (Raw).",Green: offer acceptance ?70% | Amber: 50–69% | Red: <50%,Tara ATS,Monthly,Primary: TA Head | Secondary: HR Head,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Offer Management,,,,,,,,Planned – v2 (TA module),,,,,Secondary: Planned – v2,,,,
39,Talent Acquisition (TA),P1,Offer Pipeline & Communication Aging (Planned – v2 (TA Dashboard) ? Offer Pipeline & Communication Aging),Offers without timely follow-up go cold. Aging tracker ensures no offer sits without a status update past the agreed response window.,Live - v2,"Offer pipeline list: candidate, role, offer date, age, last contact, response status; >3d flagged red",Built in: Talent Acquisition (TA) | See: Budget vs Offer; Time to Hire,"1. Offer detail per candidate: Compensation offered vs band
2. Negotiation notes and history
3. Counter-offer flag
4. Acceptance deadline
5. Days since last contact
6. Recommended next action
7. One-click log communication from flyout","Source list: Tara ATS, Excel. Fields:
1. Tara ATS.Candidate ID(Candidate overview) ? candidate_id (Raw)
2. Excel ? offer_date (Raw)
3. Excel ? offer_amount (Raw)
4. Tara ATS.Status = ""active Slipthrough"" (Candidate Overview) ? response_status (Raw).",Green: all offers responded within 3d | Amber: 3–5d | Red: >5d without response,Tara ATS,Daily,Primary: TA Head | Secondary: HR Head,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
40,Talent Acquisition (TA),P2,Budget vs Offer vs Saving (Planned – v2 (TA Dashboard) ? Budget vs Offer vs Saving),Tracks whether offers are within approved budget bands and computes per-hire savings.,Live - v2,"Table per closed hire: approved band, offer made, delta, saving; dept rollup",Built in: Talent Acquisition (TA) | See: Offer Pipeline; Compensation Band (HR),"1. Hire-level detail: Candidate
2. Role
3. JD approved band (min/mid/max)
4. Offer made
5. Variance %
6. Saving vs ceiling
7. Approver sign-off status
8. Dept-level saving summary
9. Trend vs prior quarter","Source list: Tara ATS + Finance/HRMS, Finance/HRMS. Fields:
1. Tara ATS + Finance/HRMS.Requisition ID(Requisitions) ? jd_id (Raw)
2. Finance/HRMS.Sharepoint - Planned Budget ? approved_band (Raw)
3. Finance/HRMS.Sharepoint - offered salary ? offer_amount (Raw)
4. Finance/HRMS.Sharepoint - offer roll out ? hire_date (Raw).",Green: offer ?90% of band | Amber: 90–100% | Red: above band or unapproved,"Tara / HRMS — Tara ATS, Finance/HRMS",Monthly,Primary: TA Head | Secondary: Finance Head,Approved (built in v2.0),Deferred,—,
  ?  Hiring Outcomes,,,,,,,,Planned – v2 (TA module),,,,,Secondary: Planned – v2,,,,
41,Talent Acquisition (TA),P1,Time to Hire vs Target (Planned – v2 (TA Dashboard) ? Time to Hire vs Target),Days from JR approval to offer acceptance vs agreed SLA per seniority band. Persistent misses indicate systemic bottlenecks.,Live - v2,Gauge per seniority band: actual vs target days; colour-coded hit/miss; 6-month trend,Built in: Talent Acquisition (TA) | See: JR Approval Turnaround; Funnel Conversion Rate,"1. JD-level table: Role
2. Seniority Band
3. JR Raised Date
4. Offer Accepted Date
5. Total Days
6. SLA Target
7. Delta days
8. Which stage consumed most time (stage time breakdown bar)
9. Trend: avg time to hire per quarter","Source list: Tara ATS. Fields:
1. Tara ATS.Requisition ID(Requisitions) ? jr_id (Raw)
2. Tara ATS ? jr_raised_date (Raw)
3. Tara ATS.mail ? offer_accepted_date (Raw).",Green: ?target | Amber: target+1 to target+5 days | Red: >target+5 days,Tara ATS,Monthly,Primary: TA Head | Secondary: HR Head,Approved (built in v2.0),Deferred,—,
42,Talent Acquisition (TA),P2,Slip Through Rate (Planned – v2 (TA Dashboard) ? Slip Through Rate),% of hires who exit within 90 days. Indicates poor screening or JD-role misalignment.,Live - v2,% exits <90d from join date; MoM trend; breakdown by sourcing channel and JD,Built in: Talent Acquisition (TA) | See: Time to Hire; Attrition Early Warning (HR),"1. Exit list: Name (anonymised)
2. JD
3. Join Date
4. Exit Date
5. Tenure in days
6. Source Channel
7. Exit Reason
8. KT completed flag
9. Comparison: slip-through rate by source channel (which channels produce unstable hires)","Source list: Keka, Keka/TARA, Tara. Fields:
1. Keka.employee_id ? employee_id (Raw)
2. Keka.Date of Joining ? join_date (Raw)
3. Keka.exit portal sharepoint ? exit_date (Raw)
4. Keka/TARA.date of joining - offrer date/created date ? tenure_days (cleaned)
5. Tara.Sourced (Candidate Overview) ? source_channel (Raw).",Green: <5% | Amber: 5–10% | Red: >10%,"Keka / Tara — Keka, Tara",Monthly,Primary: TA Head | Secondary: HR Head,Approved (built in v2.0),Deferred,—,date of joining - offrer date/created date
?  HUMAN RESOURCES (HR),,,,,,,,,,,,,,,,,
  ?  Overview,,,,,,,,hr.html (Headcount & Attrition chart + Hiring Tracker),,,,,,,,,
43,Human Resources (HR),P1,Headcount & Attrition — Month on Month (Headcount & Attrition card ? Headcount & Attrition — Month on Month),Tracks headcount movement and attrition together per department MoM. Combined chart shows the net workforce health picture. Training and satisfaction are in their own tabs.,Live – v1,"Combined bar + line chart: headcount bars per dept per month, attrition % line overlay; 3-month view",Built in: Human Resources (HR) | See: Attrition Early Warning Score; Resource Utilization,"1. Dept-level drill: headcount table (Dept
2. Current
3. Prior Month
4. Joiners
5. Exits
6. Net Change
7. Attrition %)
8. Joiners list with role and start date
9. Exits list with role, exit reason category
10. Plan vs actual headcount gap
11. Trend: 6-month headcount and attrition trajectory per dept","Source list: Keka, HR Plan. Fields:
1. Keka.employee_id ? employee_id (Raw)
2. Keka.Department ? dept (Raw)
3. Keka.Date of Joining ? join_date (Raw)
4. Keka.exit portal sharepoint ? exit_date (Raw)
5. Keka.status ? status (Raw)
6. HR Plan.Resource management ? planned_headcount per dept (Raw).",Green: actual ?98% plan AND attrition <10% | Amber: 95–97% OR attrition 10–15% | Red: below,"Keka, HR Plan access",Monthly,"Primary: HR Head | Secondary: Finance Head, DM",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
44,Human Resources (HR),P1,Hiring Tracker — Open Positions (Hiring Tracker card ? Hiring Tracker — Open Positions),Live tracker of all open positions with pipeline fill status. Flags roles at risk of missing target start dates.,Live – v1,Table: Role | Target | Hired | In Pipeline | % Filled; RAG on pipeline gap per role,Built in: Human Resources (HR) | See: JR Approval Turnaround (TA); Headcount MoM,"1. Role-level drill: Role title
2. Days open
3. Sourcing channel
4. Candidate count per stage
5. Target start date
6. Days until target start
7. Risk flag if pipeline empty with <30 days to target
8. Link to Tara ATS for role detail","Source list: Tara ATS. Fields:
1. Tara ATS.TA dashboard ? role_title (Raw)
2. Tara ATS ? target_count (Raw)
3. Tara ATS ? hired_count (Raw)
4. Tara ATS ? in_pipeline_count (Raw)
5. Tara ATS ? jd_open_date (Raw)
6. Tara ATS ? target_start_date (Raw).",Green: in pipeline ?(target?hired) | Amber: partially filled | Red: no pipeline OR overdue,Tara ATS,Weekly,Primary: HR Head | Secondary: TA Head,Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Onboarding & Exits,,,,,,,,Planned – v2 (HR module),,,,,Secondary: Planned – v2,,,,
45,Human Resources (HR),P1,Onboarding Completion Rate (Planned – v2 (HR Onboarding screen) ? Onboarding Completion Rate),% of joiners completing all onboarding steps within agreed window. Incomplete onboarding delays productivity and creates compliance risk.,Live - v2,Completion gauge per new joiner batch; overdue steps listed with owner and age,Built in: Human Resources (HR) | See: BGV Status; Exit Interview & KT,"1. Per-joiner checklist: Step name
2. Due date
3. Completion date
4. Responsible party
5. Status
6. Steps flagged if >3d overdue
7. Summary: completed vs pending step counts across all current joiners
8. Joiner list with overall completion %","Source list: Sharepoint - initiate onboarding. Fields:
1. Sharepoint - initiate onboarding.Sharepoint - initiate onboarding (name) == keka(name) where emp_id ? employee_id (cleaned; formula: initiate onboarding (name) == keka(name) where emp_id)
2. Sharepoint - initiate onboarding.Sharepoint - initiate onboarding - Status ? onboarding_status (Raw)
3. Sharepoint - initiate onboarding.Sharepoint - initiate onboarding - DOJ ? due_date (Raw)
4. Sharepoint - initiate onboarding.Sharepoint - initiate onboarding - DOJ ? completion_date (Raw)
5. Sharepoint - initiate onboarding.Sharepoint - initiate onboarding - Created By ? responsible (Raw).",Green: 100% steps complete within window | Amber: 1–2 steps overdue | Red: >2 steps OR any >7d overdue,HRMS / Onboarding Tool,Weekly,Primary: HR Head | Secondary: DM,Approved (built in v2.0),Deferred,—,initiate onboarding (name) == keka(name) where emp_id
46,Human Resources (HR),P1,BGV Status (Planned – v2 (HR Onboarding screen) ? BGV Status),Tracks background verification completion for new joiners. Flags cases at risk of exceeding 30-day SLA.,Live - v2,"BGV pipeline per joiner: vendor stage, age, expected completion; overdue count badge",Built in: Human Resources (HR) | See: Onboarding Completion Rate,"1. Per-joiner BGV status: Name
2. Join Date
3. BGV Vendor
4. Current Stage
5. Age in days
6. Expected Completion
7. Blocker if any
8. Adverse finding flag (red)
9. Overall: % complete within SLA vs overdue","Source list: Sharepoint - initiate BGV, BGV Vendor / HRMS. Fields:
1. Sharepoint - initiate BGV.Sharepoint - initiate BGV (name) == keka(name) where emp_id ? employee_id (Raw)
2. Sharepoint - initiate BGV.Sharepoint - initiate BGV BGV initiate ? bgv_stage (Raw)
3. Sharepoint - initiate BGV.Sharepoint - initiate BGV modified date when BGV initiat ==Yes ? bgv_start_date (Raw)
4. BGV Vendor / HRMS.ADAMA - third prty portal ? bgv_completion_date (Raw)
5. BGV Vendor / HRMS.ADAMA - third prty portal ? adverse_flag (Raw).",Green: complete ?30d | Amber: 30–45d | Red: >45d OR adverse finding,"BGV Vendor / HRMS — BGV Vendor API, HRMS",Daily,Primary: HR Head | Secondary: HR Exec,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
47,Human Resources (HR),P1,Attrition Early Warning Score (Planned – v2 (HR Onboarding & Exits screen) ? Attrition Early Warning Score),"Composite flight-risk score per employee based on tenure pattern, engagement, 1-on-1 adherence, and leave spikes. Enables proactive retention action.",Live - v2,Risk score tiles per high-risk employee; dept-level risk distribution heatmap,Built in: Human Resources (HR) | See: Exit Interview & KT; Engagement Participation,"1. High-risk employee list: Name
2. Dept
3. Risk Score
4. Score components (tenure weight, engagement score, 1on1 missed, leave spike)
5. Trend: score MoM
6. Recommended manager action
7. Privacy note: visible to HR Head and DM only","Source list: Sharepoint - 1on1, Keka + Survey + Calendar. Fields:
1. Sharepoint - 1on1.Sharepoint ? 1on1 _ score (Raw)
2. Keka + Survey + Calendar.Sharepoint ? 1on1_missed_count (Cleaned)
3. Keka + Survey + Calendar.keka ? leave_spike_flag (Cleaned).",Green: score <5 | Amber: 5–7 | Red: ?8 out of 10,"Keka / Survey / Calendar — Keka, Survey Tool, Calendar",Monthly,Primary: HR Head | Secondary: DM (for their team),Approved (built in v2.0),Deferred,—,keka
48,Human Resources (HR),P1,Exit Interview & KT Completion (Planned – v2 (HR Onboarding & Exits screen) ? Exit Interview & KT Completion),Ensures all exits have a recorded interview (attrition intelligence) and completed KT (protects delivery). Tracks both completion rates.,Live - v2,"Exit checklist per departing employee: exit interview done, KT plan signed off, access revoked",Built in: Human Resources (HR) | See: Attrition Early Warning Score; Slip Through Rate (TA),"1. Per-exit checklist: Employee
2. Last Working Day
3. Exit Interview: Done/Pending
4. KT Assignee
5. KT Completion Date
6. System Access Revoked
7. Risk flag if KT not complete by LWD-3
8. Exit reason summary across all exits this month","Source list: exit portal and email. Fields:
1. exit portal and email ? kt_completion_flag (Raw)
2. exit portal and email ? kt_assignee (Raw)
3. exit portal and email ? last_working_day (Raw).",Green: both complete before LWD | Amber: either overdue <3d | Red: either missing at LWD,HRMS,Per exit,"Primary: HR Head | Secondary: DM, Manager",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Engagement & Culture,,,,,,,,Planned – v2 (HR module),,,,,Secondary: Planned – v2,,,,
49,Human Resources (HR),P1,1-on-1 Adherence (Planned – v2 (HR Engagement screen) ? 1-on-1 Adherence),% of manager–reportee 1-on-1s held as scheduled. Low adherence is a leading indicator of disengagement.,Live - v2,Adherence % per manager; trend bar; non-compliant managers flagged,Built in: Human Resources (HR) | See: Engagement Participation & Feedback,"1. Manager-level breakdown: Manager
2. Scheduled this month
3. Held
4. Missed
5. Last held date
6. Adherence %
7. Missed sessions list with employee name and date
8. Trend: adherence % over last 3 months per manager","Source list: Sharepoint 1on1 Feedback tab. Fields:
1. Sharepoint 1on1 Feedback tab.meeting_id ? meeting_id (Raw)
2. Sharepoint 1on1 Feedback tab.organizer (manager) ? organizer (manager) (Raw)
3. Sharepoint 1on1 Feedback tab.attendee (reportee) ? attendee (reportee) (Raw)
4. Sharepoint 1on1 Feedback tab.status ? status (Raw)
5. Sharepoint 1on1 Feedback tab.date ? date (Raw).",Green: ?90% held | Amber: 75–89% | Red: <75%,Calendar / HRMS — Calendar API / HRMS,Monthly,"Primary: HR Head | Secondary: DM, Manager",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
50,Human Resources (HR),P1,Engagement Participation & Feedback (Planned – v2 (HR Engagement screen) ? Engagement Participation & Feedback),% of employees participating in engagement surveys and average score. Satisfaction signal lives here (moved from Overview card).,Live - v2,Participation % gauge + avg score gauge; dept-level breakdown table,Built in: Human Resources (HR) | See: 1-on-1 Adherence; Attrition Early Warning Score,"1. Dept-level breakdown: Dept
2. Participation %
3. Avg Score
4. Top 3 concern themes from open-text responses
5. Score trend vs prior quarter
6. Non-participating employee count per dept
7. Action recommendations based on low scores","Source list: Excel. Fields:
1. Excel ? employee_id (Raw)
2. Excel ? survey_id (Raw)
3. Excel ? participation_flag (Raw)
4. Excel ? score (Raw).",Green: participation ?80% AND score ?7/10 | Amber: 60–79% OR 5–6.9 | Red: <60% OR <5,Survey Tool,Quarterly,"Primary: HR Head | Secondary: CEO, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  L&D,,,,,,,,Planned – v2 (HR module),,,,,Secondary: Planned – v2,,,,
51,Human Resources (HR),P1,L&D Completion vs Assignment (Planned – v2 (HR L&D screen) ? L&D Completion vs Assignment),% of assigned learning modules completed per employee and team. Training signal (moved from Overview QoQ card). Tracks mandatory compliance and role-specific upskilling.,Live - v2,Completion % bars per dept; overdue mandatory training count badge (red),Built in: Human Resources (HR) | See: KPI & OKR Alignment; Appraisal (merged),"1. Employee-level drill: Employee
2. Assigned modules list
3. Completion status per module
4. Due date
5. Score if applicable
6. Overdue mandatory modules flagged red
7. Dept summary: assigned vs completed counts
8. Trend: completion rate MoM","Source list: LMS. Fields:
1. LMS.Sharepoint LMS portal ? employee_id (Raw)
2. LMS.Sharepoint LMS portal ? course_id (Raw)
3. LMS.Sharepoint LMS portal ? course_type (mandatory/optional) (Raw)
4. LMS.Sharepoint LMS portal ? assigned_date (Raw)
5. LMS.Sharepoint LMS portal ? completion_date (Raw)
6. LMS.Sharepoint LMS portal ? score (Raw).",Green: ?90% complete AND 0 mandatory overdue | Amber: 75–89% | Red: <75% OR any mandatory overdue,LMS (Learning Management System),Monthly,"Primary: HR Head | Secondary: DM, Manager",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Performance & Compensation,,,,,,,,"1. Planned – v2 (HR module)
2. Appraisals tile Live-v1 on kpi-people.html",,,,,Secondary: Planned – v2,,,,
